Bitcoins,Bug,Virus,Trojaner,Nokia,Thunderbird,Settings,Firefox,Bluescreen,Kabel,Mauszeigerschütze,CD-Werfer,Antivirusprogramm,Lüftung,Wifi-Router,Schockfeld,Aktion
800,1,0,5,1,0,0,0,1,0,0,1,1,2,2,2,Antivirusprogramm
10,0,0,10,1,0,0,0,0,0,1,1,2,2,0,1,Warten
100,0,0,10,1,0,0,0,0,0,1,2,2,2,0,1,Warten
200,3,0,10,1,0,0,0,0,0,1,0,2,2,0,2,CD-Werfer
500,0,0,10,1,0,0,0,0,0,1,2,2,1,2,1,Antivirusprogramm
800,5,0,10,1,0,0,0,0,0,0,0,0,0,0,0,Antivirusprogramm
10,5,0,10,1,0,0,0,0,0,2,1,0,1,1,1,Warten
100,4,0,10,1,0,0,0,0,0,2,2,1,0,1,2,Warten
200,3,0,10,1,0,0,0,0,0,0,2,2,0,0,0,CD-Werfer
500,5,0,10,1,0,0,0,0,0,2,2,1,1,2,0,Antivirusprogramm
800,1,0,10,1,0,0,0,0,0,0,2,1,0,1,2,Antivirusprogramm
10,1,1,1,1,2,0,0,0,0,10,8,5,6,6,6,Warten
100,1,1,2,0,1,1,1,0,0,9,6,10,5,9,9,Warten
200,0,2,0,0,2,1,1,1,0,9,10,5,9,7,10,Warten
500,0,2,0,2,2,1,1,1,0,9,9,10,8,8,8,Antivirusprogramm
800,2,2,1,1,0,0,1,0,0,8,6,7,7,7,8,Antivirusprogramm
10,12,6,13,5,9,0,0,0,0,7,5,10,6,8,8,Warten
100,6,9,11,13,14,1,0,1,0,10,10,9,5,10,5,Warten
200,9,6,12,7,12,1,0,0,0,6,6,7,8,10,8,CD-Werfer
500,12,5,9,5,5,1,0,1,0,10,9,10,6,7,7,Antivirusprogramm
800,15,12,14,7,5,0,1,1,0,6,5,9,7,5,5,Antivirusprogramm
10,9,5,9,12,8,1,0,0,0,9,6,5,6,5,7,Warten
100,9,8,6,7,8,0,1,1,0,10,5,10,7,8,9,Mauszeigerschütze
200,10,14,9,14,6,1,1,0,0,7,9,6,7,9,5,CD-Werfer
500,10,12,15,15,8,1,0,0,0,10,10,8,6,10,9,Antivirusprogramm
800,9,5,11,6,6,1,1,1,0,6,9,6,10,8,10,Antivirusprogramm
800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mauszeigerschütze
800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mauszeigerschütze
800,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mauszeigerschütze
800,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mauszeigerschütze
800,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mauszeigerschütze
800,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,Lüftung
800,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,Lüftung
800,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,Lüftung
800,10,0,0,0,0,0,0,0,0,5,0,0,0,0,0,Lüftung
500,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,Lüftung
500,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,Lüftung
500,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,Lüftung
500,1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,Warten
500,2,0,0,0,0,0,0,0,0,5,0,0,3,0,0,Warten
500,5,0,0,0,0,0,0,0,0,5,0,0,3,0,0,Antivirusprogramm
500,10,0,0,0,0,0,0,0,0,5,1,0,3,0,0,CD-Werfer
500,10,0,0,0,0,0,0,0,0,3,0,0,3,0,0,Mauszeigerschütze
500,5,0,0,0,0,0,0,0,0,5,0,0,3,0,0,Antivirusprogramm
500,10,0,0,0,0,0,0,0,0,5,1,0,3,0,0,CD-Werfer
500,10,0,0,0,0,0,0,0,0,3,0,10,0,0,0,Mauszeigerschütze
800,5,0,0,0,0,0,0,0,0,5,0,3,0,0,0,Antivirusprogramm
800,10,0,0,0,0,0,0,0,0,5,1,3,0,0,0,CD-Werfer
800,10,0,0,0,0,0,0,0,0,3,0,3,0,0,0,Mauszeigerschütze
800,5,0,0,0,0,0,0,0,0,5,0,3,0,0,0,Antivirusprogramm
800,10,0,0,0,0,0,0,0,0,5,1,0,10,0,0,CD-Werfer
800,10,0,0,0,0,0,0,0,0,3,0,0,10,0,0,Mauszeigerschütze
500,10,0,0,0,0,0,0,0,0,3,0,7,3,0,0,Lüftung
800,10,0,0,0,0,0,0,0,0,3,0,7,3,0,0,Lüftung
